actual,prediction
25.0,24.551168824216983
33.0,35.193536493625906
75.0,83.3893672703459
66.66,72.83190611289307
8.2e-322,0.19532743537602668
66.66,63.89101286937672
33.33,38.895367644894726
6.717595640084634e-55,0.10628672145076014
6.94072397230876e-310,-0.31460048162117565
50.0,53.77203557457107
25.0,25.902485617939444
25.0,26.362371419933876
50.0,43.59569877291662
25.0,45.698124883273024
33.33,25.365466399910048
75.0,59.90983267279172
6.94072397226686e-310,0.06126862653558722
2.75859453324e-313,0.19532743537602623
25.0,26.978936583676397
66.66,62.82887017166229
2.1219958013e-314,0.13118625420335786
6.94072397223287e-310,0.17559365046997305
50.0,50.697176097282465
25.0,27.45833775796138
50.0,37.95749633001078
66.66,70.45409810921635
0.0,-0.3146004816211721
95.0,80.09525636420676
33.0,27.987820599394105
50.0,65.21196761491225
50.0,45.89012788726886
75.0,73.65028516377645
33.0,38.696822270857865
75.0,58.03324450609357
50.0,53.78756460204652
50.0,43.785922625413356
66.66,82.79946376827053
0.0,-0.7913030704556046
2.1219958547e-314,0.23772706968931048
25.0,26.939148534996225
33.0,37.954875053587514
20.0,20.969166173483103
6.94072397228346e-310,0.06126862653558722
66.66,73.52232004638799
6.9407239723467e-310,0.05644675912462912
75.0,87.53187782618618
50.0,51.889892770103586
75.0,53.56355352677184
2.524969676e-314,10.65176103999838
33.0,42.975778480172295
2.121996347e-314,0.1311862542033543
25.0,32.59919527709
6.94072397224117e-310,0.056446759124628675
75.0,55.13777538551842
25.0,47.42205007673277
